scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v3,parakeet-tdt-0.6b-v3,7,12,1541.512,162352
first-use-short-v3,parakeet-tdt-0.6b-v3,7,13,1668.665,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,14,1801.515,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,15,1938.684,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,16,2074.222,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,17,2204.295,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,18,2342.118,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,19,2474.329,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,20,2600.055,162320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,21,2732.642,162320
