scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v2,parakeet-tdt-0.6b-v2,5,17,2286.317,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,5,18,2416.702,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,5,19,2552.544,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,5,20,2690.110,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,5,21,2822.020,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,5,22,2953.786,170288
first-use-short-v2,parakeet-tdt-0.6b-v2,6,0,8.975,22192
first-use-short-v2,parakeet-tdt-0.6b-v2,6,1,137.415,32352
first-use-short-v2,parakeet-tdt-0.6b-v2,6,2,268.340,85888
first-use-short-v2,parakeet-tdt-0.6b-v2,6,3,397.998,107376
first-use-short-v2,parakeet-tdt-0.6b-v2,6,4,525.811,125184
first-use-short-v2,parakeet-tdt-0.6b-v2,6,5,659.845,166752
first-use-short-v2,parakeet-tdt-0.6b-v2,6,6,797.459,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,7,936.605,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,8,1076.588,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,9,1206.024,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,10,1339.849,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,11,1467.352,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,12,1597.371,167712
first-use-short-v2,parakeet-tdt-0.6b-v2,6,13,1726.185,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,14,1854.564,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,15,1990.791,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,16,2137.853,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,17,2265.271,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,18,2394.444,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,19,2530.702,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,20,2669.315,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,6,21,2810.956,167696
first-use-short-v2,parakeet-tdt-0.6b-v2,7,0,10.967,21360
first-use-short-v2,parakeet-tdt-0.6b-v2,7,1,139.175,32320
first-use-short-v2,parakeet-tdt-0.6b-v2,7,2,269.352,81360
